City,Country,Year,Population,Walk,Bike,PT,Car
Nijmegen,Netherlands,2008.0,161251.0,16.0,24.0,9.0,51.0
Oldenburg,Germany,2007.0,159563.0,17.0,22.0,6.0,55.0
Thurrock,United Kingdom,2011.0,158300.0,6.0,2.0,22.0,70.0
Pécs,Hungary,2010.0,158e3,23.0,1.0,41.0,35.0
Apeldoorn,Netherlands,2008.0,155108.0,13.0,28.0,4.0,55.0
Sibiu,Romania,2007.0,155e3,51.0,2.0,16.0,31.0
Enschede,Netherlands,2008.0,154753.0,15.0,26.0,4.0,55.0
Ravenna,Italy,2012.0,154288.0,23.0,15.0,24.0,39.0
Neuss,Germany,2012.0,153758.0,12.0,10.0,14.0,64.0
Oxford,United Kingdom,2011.0,150200.0,19.0,19.0,21.0,41.0
Potsdam,Germany,2008.0,149687.0,23.0,20.0,19.0,38.0
Ruse,Bulgaria,2012.0,148502.0,44.0,2.0,21.0,33.0
Blackburn with Darwen,United Kingdom,2011.0,147700.0,20.0,1.0,9.0,70.0
Haarlem,Netherlands,2008.0,147640.0,15.0,26.0,10.0,49.0
Saint Quentin en Yvelines,France,2010.0,146e3,31.0,2.0,15.0,52.0
Salzburg,Austria,2012.0,145700.0,20.0,20.0,15.0,45.0
Arnhem,Netherlands,2008.0,143582.0,15.0,19.0,10.0,56.0
Darmstadt,Germany,2011.0,143499.0,27.0,15.0,13.0,45.0
Zaanstad,Netherlands,2008.0,142863.0,15.0,25.0,7.0,53.0
Oulu,Finland,2009.0,142e3,19.0,21.0,6.0,54.0
Blackpool,United Kingdom,2010.0,141900.0,17.0,1.0,2.0,80.0
Amersfoort,Netherlands,2008.0,141211.0,13.0,28.0,7.0,52.0
Linköping,Sweden,2008.0,141200.0,15.0,20.0,10.0,55.0
Haarlemmermeer,Netherlands,2008.0,140648.0,9.0,17.0,9.0,65.0
Stara Zagora,Bulgaria,2011.0,140303.0,33.0,2.0,25.0,40.0
Uppsala,Sweden,2010.0,140175.0,19.0,28.0,11.0,42.0
Coimbra,Portugal,2006.0,14e4,12.0,1.0,18.0,69.0
Heidelberg,Germany,2010.0,139200.0,20.0,25.0,18.0,37.0
León,Spain,2009.0,137064.0,64.0,1.0,6.0,29.0
's-Hertogenbosch,Netherlands,2008.0,136481.0,14.0,19.0,7.0,60.0
Ferrara,Italy,2008.0,135e3,12.0,27.0,5.0,56.0
Wrexham (County Borough),United Kingdom,2011.0,134800.0,9.0,1.0,7.0,83.0
Norwich,United Kingdom,2011.0,132512.0,25.0,10.0,10.0,55.0
Jyväskylä,Finland,2009.0,130974.0,22.0,14.0,6.0,58.0
Stavanger,Norway,2014.0,130754.0,24.0,8.0,10.0,58.0
Šiauliai,Lithuania,2008.0,130020.0,40.0,1.0,21.0,38.0
Norrköping,Sweden,2010.0,129985.0,18.0,13.0,10.0,59.0
Tychy,Poland,2013.0,128621.0,3.0,6.0,36.0,55.0
