city,cycleway,Country,Year,Population,Walk,Bike,PT,Car,country
Barcelona,159.53634213225519,Spain,2012.0,1620943.0,32.0,2.0,40.0,26.0,NA
Ghent,283.10313742982214,Belgium,2012.0,251e3,24.0,20.0,9.0,47.0,be
Charleroi,64.70405606229964,Belgium,2008.0,202598.0,3.0,1.0,12.0,84.0,be
Liege,30.80207216019101,Belgium,2008.0,192504.0,6.0,2.0,16.0,76.0,be
Brussels,69.0415703681289,Belgium,2010.0,171459.0,25.0,3.0,28.0,44.0,be
Brugge,261.2471340038584,Belgium,2011.0,117e3,11.0,28.0,18.0,44.0,be
Namur,89.30736458564792,Belgium,2008.0,108950.0,6.0,2.0,22.0,70.0,be
Antwerp,469.68379912212987,Belgium,2011.0,493517.0,20.0,23.0,16.0,41.0,be
Stockholm,956.6693550101515,Sweden,2006.0,1889945.0,17.0,1.0,35.0,47.0,se
Gothenburg,471.3458654253165,Sweden,2014.0,543e3,24.0,7.0,28.0,41.0,se
Malmö,265.8865731804954,Sweden,2013.0,313e3,15.0,22.0,21.0,42.0,se
Linköping,119.67571407723312,Sweden,2008.0,141200.0,15.0,20.0,10.0,55.0,se
Uppsala,335.09690946006515,Sweden,2010.0,140175.0,19.0,28.0,11.0,42.0,se
Norrköping,181.64429224749244,Sweden,2010.0,129985.0,18.0,13.0,10.0,59.0,se
Lund,212.36947643067097,Sweden,2007.0,110332.0,16.0,26.0,16.0,42.0,se
Umeå,291.9902979718295,Sweden,2006.0,11e4,16.0,19.0,8.0,57.0,se
Örebro,361.3465587163796,Sweden,2012.0,138952.0,11.0,25.0,9.0,55.0,se
Torino,141.75344169456042,Italy,2011.0,9e5,7.0,1.0,28.0,64.0,it
Palermo,3.875198089133075,Italy,2015.0,678492.0,12.0,1.0,9.0,78.0,it
Bologna,117.06782786329444,Italy,2007.0,373026.0,21.0,7.0,26.0,46.0,it
Bari,20.154458770084027,Italy,2013.0,322751.0,3.0,1.0,20.0,76.0,it
Verona,54.654480240006066,Italy,2008.0,265368.0,18.0,9.0,8.0,65.0,it
Messina,5.92153305376906,Italy,2006.0,245159.0,18.0,1.0,8.0,73.0,it
Padua,88.06907088227965,Italy,2011.0,205631.0,5.0,16.0,22.0,57.0,it
Trieste,10.841576660993175,Italy,2012.0,201814.0,19.0,1.0,20.0,60.0,it
Parma,84.57765408563552,Italy,2010.0,187214.0,6.0,6.0,13.0,75.0,it
Reggio Emilia,163.7139721935326,Italy,2012.0,163928.0,10.0,18.0,8.0,64.0,it
Perugia,4.443667137490492,Italy,2011.0,162097.0,10.0,0.0,14.0,76.0,it
Ravenna,92.07017405683352,Italy,2012.0,154288.0,23.0,15.0,24.0,39.0,it
Ferrara,96.3639174515442,Italy,2008.0,135e3,12.0,27.0,5.0,56.0,it
Bolzano,68.5765825436098,Italy,2009.0,104e3,29.0,29.0,8.0,34.0,it
Rome,120.64264587439028,Italy,2014.0,2869461.0,16.0,1.0,29.0,54.0,it
Basel,34.3031541178129,Switzerland,2010.0,169464.0,29.0,20.0,28.0,23.0,ch
Zürich,118.35957766166005,Switzerland,2015.0,410404.0,26.0,4.0,34.0,36.0,ch
Graz,127.08841262855694,Austria,2013.0,257328.0,19.0,14.0,20.0,47.0,at
Linz,48.805066182306334,Austria,2008.0,19e4,22.0,5.0,24.0,49.0,at
Salzburg,51.37588831892276,Austria,2012.0,145700.0,20.0,20.0,15.0,45.0,at
Wien,715.628525698178,Austria,2015.0,1797337.0,28.0,6.0,39.0,27.0,at
Amsterdam,850.2942411426038,Netherlands,2008.0,747093.0,20.0,22.0,20.0,38.0,nl
Rotterdam,795.3111844920978,Netherlands,2008.0,582951.0,18.0,16.0,17.0,49.0,nl
Utrecht,390.1765607538422,Netherlands,2012.0,316e3,17.0,26.0,16.0,41.0,nl
Eindhoven,343.2285848131619,Netherlands,2014.0,220782.0,13.0,40.0,5.0,42.0,nl
Tilburg,259.89737319781227,Netherlands,2008.0,202091.0,14.0,23.0,6.0,57.0,nl
Almere,415.59099955287127,Netherlands,2008.0,183270.0,16.0,19.0,13.0,52.0,nl
Groningen,297.8171462880976,Netherlands,2008.0,182484.0,15.0,31.0,10.0,44.0,nl
Breda,266.4467815322273,Netherlands,2013.0,180053.0,0.0,27.0,5.0,68.0,nl
Nijmegen,230.20223603919948,Netherlands,2008.0,161251.0,16.0,24.0,9.0,51.0,nl
Apeldoorn,472.27060747239335,Netherlands,2008.0,155108.0,13.0,28.0,4.0,55.0,nl
Enschede,234.84499127570362,Netherlands,2008.0,154753.0,15.0,26.0,4.0,55.0,nl
Haarlem,163.5231737752255,Netherlands,2008.0,147640.0,15.0,26.0,10.0,49.0,nl
Arnhem,312.63631710200644,Netherlands,2008.0,143582.0,15.0,19.0,10.0,56.0,nl
Zaanstad,145.54310881797775,Netherlands,2008.0,142863.0,15.0,25.0,7.0,53.0,nl
Amersfoort,201.31186710057239,Netherlands,2008.0,141211.0,13.0,28.0,7.0,52.0,nl
Haarlemmermeer,391.00622065429155,Netherlands,2008.0,140648.0,9.0,17.0,9.0,65.0,nl
's-Hertogenbosch,277.7155735401636,Netherlands,2008.0,136481.0,14.0,19.0,7.0,60.0,nl
Zoetermeer,187.66554114046963,Netherlands,2008.0,119504.0,18.0,19.0,7.0,56.0,nl
Maastricht,144.15873924114152,Netherlands,2008.0,118004.0,19.0,22.0,7.0,52.0,nl
Leiden,142.3028540866909,Netherlands,2008.0,116878.0,15.0,33.0,12.0,40.0,nl
Zwolle,219.6122150974218,Netherlands,2008.0,116365.0,11.0,30.0,8.0,51.0,nl
Emmen,377.30548233675523,Netherlands,2008.0,109151.0,12.0,25.0,2.0,61.0,nl
Ede,409.547402122782,Netherlands,2008.0,107686.0,13.0,25.0,4.0,58.0,nl
Copenhagen,418.74091025013723,Denmark,2014.0,591e3,17.0,30.0,20.0,33.0,dk
Odense,387.2358000164911,Denmark,2008.0,187e3,19.0,27.0,26.0,28.0,dk
Paris,287.0702267650335,France,2008.0,2211297.0,47.0,3.0,33.0,17.0,fr
Lyon,614.7158468643637,France,2015.0,1375e3,34.0,2.0,19.0,45.0,fr
Marseille,112.56624372905327,France,2009.0,1177e3,34.0,1.0,11.0,54.0,fr
Lille,99.26145468216383,France,2006.0,1093e3,32.0,2.0,10.0,57.0,fr
Bordeaux,132.14457002025216,France,2009.0,881e3,21.0,3.0,9.0,67.0,fr
Nantes,136.52909065277024,France,2012.0,58e4,27.0,5.0,16.0,52.0,fr
Toulon,25.068615582462545,France,2008.0,575e3,27.0,1.0,5.0,67.0,fr
Nice,47.26073943167274,France,2009.0,508e3,40.0,1.0,11.0,48.0,fr
Strasbourg,211.9512506963301,France,2009.0,439e3,33.0,8.0,12.0,47.0,fr
Rouen,25.88460746948337,France,2007.0,396e3,26.0,1.0,8.0,65.0,fr
Grenoble,55.35092525862803,France,2010.0,393e3,31.0,4.0,17.0,49.0,fr
Rennes,124.43625384510977,France,2007.0,392e3,28.0,4.0,13.0,55.0,fr
Lens,2.4028603653335443,France,2006.0,368e3,28.0,2.0,4.0,66.0,fr
Tours,78.45399900384726,France,2008.0,348e3,28.0,4.0,8.0,61.0,fr
Aix,21.905410488383975,France,2009.0,317e3,26.0,1.0,7.0,66.0,fr
Le Havre,65.17241290025038,France,2007.0,267e3,34.0,1.0,8.0,57.0,fr
Nancy,12.60597279659408,France,2013.0,258e3,36.0,1.0,12.0,51.0,fr
Reims,62.23100819367187,France,2006.0,228e3,30.0,1.0,9.0,60.0,fr
Amiens,28.97459377733147,France,2010.0,174e3,33.0,2.0,7.0,58.0,fr
Chambéry,40.0608604272952,France,2006.0,117e3,28.0,2.0,6.0,64.0,fr
